"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"equity-quintile"
"08/07/2026 14:37:20:131 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","transit-penalty","n-sim-days","control-seed?","current-seed","[step]","current-sim-day","peak-vc-inner","optin-q 1","optin-q 2","optin-q 3","optin-q 4","optin-q 5","optin-tier 1","optin-tier 2","burden-quintile 1","burden-quintile 5","mean [fee-paid-today] of vehicles"
"2","Exp-Decay","tou","0","14","true","11","9","9","0.12130059304804415","0.2682119205298013","0.3806228373702422","0.49158249158249157","0.4634146341463415","0.48","0.4100346020761246","0.42190889370932755","1.0744553821720921","0.22155616074528398","1.1744"
"5","Q-Learning","No-Charge","0","14","true","11","9","9","0.14079334853351239","0.4867549668874172","0.4844290657439446","0.5959595959595959","0.5574912891986062","0.5876923076923077","0.5294117647058824","0.5520607375271149","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","9","9","0.13044940525436283","0.49337748344370863","0.5155709342560554","0.5117845117845118","0.4738675958188153","0.48923076923076925","0.4913494809688581","0.5","0","0","0"
"6","Q-Learning","tou","0","14","true","11","10","10","0.08338358407603656","0.33112582781456956","0.2422145328719723","0.22895622895622897","0.31010452961672474","0.25846153846153846","0.28546712802768165","0.2668112798264642","1.1667882648695627","0.19967872568029255","0.7408"
"4","El Farol","tou","0","14","true","11","9","9","0.1433310825145338","0.9536423841059603","0.9134948096885813","0.9124579124579124","0.9372822299651568","0.8984615384615384","0.9100346020761245","0.93058568329718","1.1743034387761968","0.22323641091325633","2.6544"
"3","El Farol","No-Charge","0","14","true","11","9","9","0.13853407218962868","0.956953642384106","0.9446366782006921","0.9191919191919192","0.9303135888501742","0.9230769230769231","0.9290657439446367","0.938177874186551","0","0","0"
"5","Q-Learning","No-Charge","0","14","true","11","10","10","0.10331703183784022","0.4966887417218543","0.47750865051903113","0.5757575757575758","0.5505226480836237","0.5907692307692308","0.5484429065743944","0.5336225596529284","0","0","0"
"2","Exp-Decay","tou","0","14","true","11","10","10","0.08350386627810372","0.2251655629139073","0.3391003460207612","0.4444444444444444","0.4808362369337979","0.47384615384615386","0.39965397923875434","0.3893709327548807","0.9756169824970417","0.2133714419045261","1.0952"
"1","Exp-Decay","No-Charge","0","14","true","11","10","10","0.14869987350288433","0.609271523178808","0.5224913494809689","0.4983164983164983","0.5505226480836237","0.48615384615384616","0.5380622837370242","0.5292841648590022","0","0","0"
"6","Q-Learning","tou","0","14","true","11","11","11","0.06560474753783954","0.24834437086092714","0.23875432525951557","0.24915824915824916","0.24738675958188153","0.27384615384615385","0.26124567474048443","0.24620390455531455","0.9733934248479031","0.21639722602374797","0.6888"
"5","Q-Learning","No-Charge","0","14","true","11","11","11","0.10638614615434534","0.4900662251655629","0.5155709342560554","0.5656565656565656","0.6132404181184669","0.5907692307692308","0.5570934256055363","0.5542299349240781","0","0","0"
