"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"rerouting"
"07/28/2026 06:02:25:027 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-rerouting?","allow-retiming?","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","count vehicles with [enters-cbd? = true]","table:length path-cache","peak-ef-cbd","peak-ef-mwy","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""MWY"""
"5","Q-Learning","No-Charge","true","false","14","12","12","0.12997257475006002","0.25922314066518526","0.06990491961186755","834","5442","95.7515754755485","80.52650877782449","81.81478489693758","42.76056026974201"
"2","Exp-Decay","tou","true","false","14","13","13","0.13274867492423023","0.15088697983317012","0.0644165859518212","633","4878","91.16932656623338","82.69245773020202","80.66461628079612","28.135995929771465"
"4","El Farol","tou","true","false","14","10","10","0.20803413847229804","0.5731156529233652","0.12461734269713702","1385","6889","98.23178419800104","84.02165272851688","95.46024025244597","74.38604505626309"
"3","El Farol","No-Charge","true","false","14","10","10","0.21551504121146364","0.48104719754090536","0.14411502021298056","1397","6899","95.50008669956969","91.00392756831319","90.64376489979315","75.09226448236392"
"6","Q-Learning","tou","true","false","14","14","14","0.09022260004105166","0.13267085383513147","0.04865244895280289","364","4187","82.27741556477535","67.71540396468511","71.04933102334647","30.563121697262755"
"1","Exp-Decay","No-Charge","true","false","14","13","13","0.2072979541557174","0.28563693470186424","0.06257528962376198","813","5404","94.56507527769578","89.59058533598748","88.18408881773574","64.0548054552718"
"5","Q-Learning","No-Charge","true","false","14","13","13","0.10345323507949504","0.26097814480442066","0.09230013809829267","832","5447","95.82614111074243","89.86561508533046","81.85217934555872","46.14445127676552"
"2","Exp-Decay","tou","true","false","14","14","14","0.1430700042904745","0.1258346198513947","0.06240847767717498","554","4726","89.49798901469775","71.83458861500402","80.92162296813981","26.24717089009809"
"4","El Farol","tou","true","false","14","11","11","0.22157126986065245","0.5367557506524803","0.14175427770641164","1377","6866","98.14658593182845","87.01545381132506","95.40810361868067","74.28401354208695"
"3","El Farol","No-Charge","true","false","14","11","11","0.20291330213405218","0.36912870881007764","0.11057618905124733","1397","6912","97.54064836769723","93.32190180022465","89.47647746868535","75.13746072804872"
"1","Exp-Decay","No-Charge","true","false","14","14","14","0.14042397083994135","0.2082299683411807","0.0754081441738071","791","5290","94.52623853983525","91.70855980334426","88.04562711618388","64.15891617803018"
"5","Q-Learning","No-Charge","true","false","14","14","14","0.11871478715258792","0.3051169870549518","0.08577294444888486","851","5471","94.8506458007802","82.42878797569128","82.34943755727377","46.758337865424245"
"4","El Farol","tou","true","false","14","12","12","0.24857374725424117","0.34053967105786953","0.13538175306503047","1371","6838","98.1308973497688","88.23904507667831","95.33648509505133","67.00988279802856"
"3","El Farol","No-Charge","true","false","14","12","12","0.2061581999220937","0.26205068403219284","0.1334260709472295","1392","6900","97.59510074843026","89.21450822323291","89.01361935907586","75.46983762912214"
"4","El Farol","tou","true","false","14","13","13","0.22793378647493015","0.38726347699315744","0.12761614123276638","1379","6861","97.9178063494368","80.54022216114352","94.99641381231712","66.6922116472159"
"3","El Farol","No-Charge","true","false","14","13","13","0.2546708007954174","0.32015099534843267","0.12269260134818638","1406","6957","98.55545956334814","87.60826374691352","89.3163912341608","75.74755242952438"
"4","El Farol","tou","true","false","14","14","14","0.3002878187731587","0.47352277567786444","0.10432048565482382","1401","6972","98.91388515584826","88.91248315943517","95.38927192334398","62.820741615400735"
"3","El Farol","No-Charge","true","false","14","14","14","0.2832768821608864","0.3653378835491449","0.1327645299786097","1407","6928","98.58774641858295","92.63835755615253","89.53760712523142","75.7869650069811"
