"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"akl_traffic.nlogo"
"paper-figs"
"08/06/2026 04:31:00:197 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"1","Exp-Decay","No-Charge","14","5","5","0.09286673299969381","0.52042661858086","0.09889982369895826","93.06699235460074","86.61701274516133","90.50079114434831","86.05803153821932","90.24608243101667","82.04194399828569","85.72780158249722","83.29837503798788"
"4","El Farol","tou","14","5","5","0.16374189968435096","0.8661789717001105","0.12201646020205557","95.67286056748628","94.66774859014592","92.37718626160462","86.76587310902555","91.08315676383805","88.95526409376387","90.15249676749367","84.25976823310796"
"3","El Farol","No-Charge","14","5","5","0.18547963606621393","0.8800933534455522","0.1356557185032088","95.16509687702165","93.76022432291325","91.77526133249785","86.04889925672005","91.03607693027784","87.98538747128575","89.45788537461911","85.21658086302065"
"6","Q-Learning","tou","14","6","6","0.10011920414371005","0.40275586409758285","0.0803831577579086","92.94398476889866","77.84180299237464","88.5471626233804","86.36365039887309","86.48407966661432","78.98796768390108","83.8324464873123","83.38537924834608"
"2","Exp-Decay","tou","14","6","6","0.11167689108757765","0.4147474275487195","0.08072827230197495","92.76251749439425","85.4792652158553","90.05707690166695","86.5208694497702","86.51693498384302","75.69011643601876","82.93282825202814","83.17920290546367"
"5","Q-Learning","No-Charge","14","6","6","0.12023236551489447","0.514250249711591","0.09231291794213672","93.87657019878138","86.6407491302573","90.72892553333696","84.39075191600784","90.27417300332641","81.60605296274282","84.86724589147919","83.8567493131291"
"1","Exp-Decay","No-Charge","14","6","6","0.11723270989517472","0.5617802458992883","0.08873458951577609","93.09379138494965","89.33331556913411","89.67222680163209","85.53728297275207","90.14486848654293","82.47106154499593","85.86923039146036","83.79593294411274"
"4","El Farol","tou","14","6","6","0.16765041534693545","0.8515214073120945","0.13830082022218404","95.01074515999849","95.06113903698686","94.39168104737188","86.43622070939544","91.07199820540988","88.99695128201184","89.89827579534503","84.61124925903403"
"3","El Farol","No-Charge","14","6","6","0.16505252272038715","0.8311771049986943","0.15021457976615588","94.89047647996779","94.88097991891505","92.6911673913005","87.80834974606874","91.02296893560978","88.0212572331044","89.59070716207172","85.21392523637275"
"6","Q-Learning","tou","14","7","7","0.08289363507368541","0.40836015988383123","0.08600456282458237","91.81164852769706","80.32521210617062","91.6325513587123","86.95315160295016","86.43233914282294","77.43006038837791","83.02576549346247","82.73134148894552"
"2","Exp-Decay","tou","14","7","7","0.0956741950003585","0.4892589323388117","0.07613447884649892","92.83124859587352","82.09119498781773","89.69869737880636","85.58197773725364","86.46423301896971","75.38441654713873","82.92725130336409","83.28861165936263"
"5","Q-Learning","No-Charge","14","7","7","0.102299627500858","0.5104003502695497","0.08257376442003093","92.87974726053389","85.37847763343356","92.06614942099179","86.1136636202521","90.27964617616311","81.8795493414367","84.84824359099751","84.0023931262194"
"1","Exp-Decay","No-Charge","14","7","7","0.12305363710333814","0.5800297578832372","0.08110562003858833","94.18274998786505","87.43018468646929","90.86362157622226","84.45562478339018","89.46398811153665","82.57035303456925","86.03062153123372","83.7123271135684"
