"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-kfactor"
"07/25/2026 18:53:33:510 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","k-factor","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"3","Exp-Decay","No-Charge","0.12","14","9","0.1341070161231816","9","0.36485135869214796","0.08581779065961727","86.6704753679884","83.55084621542827","85.21577743250869","80.18090276121329","44.876935249904996","76.1589852457624","75.57284347967185","68.52126832752238"
"5","Exp-Decay","tou","0.1","14","10","0.11896091199242413","10","0.28802162430227624","0.053802042779256015","92.4844049203593","81.78536067488346","84.02097200321029","79.47926355275871","62.28521497484076","71.97592787389866","76.64534648167974","76.76660229934258"
"1","Exp-Decay","No-Charge","0.08","14","9","0.1341070161231816","9","0.36485135869214796","0.08581779065961727","94.76464522641676","91.29363871451216","89.99334196725611","87.3887065317524","90.92881891905026","85.37831631884704","86.65895697167855","84.86936855291977"
"6","Exp-Decay","tou","0.12","14","10","0.11896091199242413","10","0.28802162430227624","0.053802042779256015","80.27292547742198","78.36866987508856","81.2566971350524","76.38711068649437","27.377357224202072","66.49247408450228","70.17438172026507","66.2258560939316"
"4","Exp-Decay","tou","0.08","14","10","0.11896091199242413","10","0.28802162430227624","0.053802042779256015","93.67208634099798","88.20094069867918","88.6245267785757","83.00195040590492","86.04255851118151","82.0342274222105","85.98003582575195","82.06141082374523"
"2","Exp-Decay","No-Charge","0.1","14","10","0.12908212330435348","10","0.32729724268812094","0.07497309676617138","91.46013906650812","87.58710170108796","87.28848270401564","82.67165646155314","71.60161915735641","83.55061281960583","84.66683099309348","79.53650161921232"
"5","Exp-Decay","tou","0.1","14","11","0.09200109071734418","11","0.2669449478231704","0.07684444873108867","90.28403205842366","78.86833002392493","84.78957629739125","81.0706683289299","62.27736928348814","72.10618823770717","77.12133691104795","77.03104882591292"
"3","Exp-Decay","No-Charge","0.12","14","10","0.12908212330435348","10","0.32729724268812094","0.07497309676617138","85.23015881228805","83.34862239967609","85.2627423963609","81.83174238798996","44.90578124154974","75.53737519174248","75.1705726774602","68.24925651420118"
"6","Exp-Decay","tou","0.12","14","11","0.09200109071734418","11","0.2669449478231704","0.07684444873108867","82.66236570327436","74.78273371858577","82.12202389508239","77.66331204174806","27.43051473562868","66.6482677057207","70.21812828411049","66.08098061316738"
"1","Exp-Decay","No-Charge","0.08","14","10","0.12908212330435348","10","0.32729724268812094","0.07497309676617138","93.5715643677866","92.6313040895585","89.63812043505332","86.49359185738064","90.95211709766531","85.55593065685598","86.45240856975767","84.8780265076404"
"4","Exp-Decay","tou","0.08","14","11","0.09200109071734418","11","0.2669449478231704","0.07684444873108867","93.00901656383206","83.70482614277607","89.89220426524768","84.58060422217163","86.04834472525776","82.11870604454583","85.9856603522253","81.7479535226258"
"2","Exp-Decay","No-Charge","0.1","14","11","0.147632114928032","11","0.3898251657160209","0.07768425929235663","92.29294686600898","85.20900983460758","87.44453609914419","83.50492318725644","71.58235906343255","83.57730722640665","84.84206467364014","79.92007801160189"
"5","Exp-Decay","tou","0.1","14","12","0.08282968364242661","12","0.3216981718057344","0.06482450688362776","91.12922629789071","76.93248744517764","84.83837670261505","82.23518120222104","62.42584675558988","72.45404079439986","76.7332263745354","77.3129876373133"
"6","Exp-Decay","tou","0.12","14","12","0.08282968364242661","12","0.3216981718057344","0.06482450688362776","85.86926507983985","72.86141399844281","80.66221601226857","79.63782253721013","30.5438170879045","66.65291398860842","70.28891752063086","66.24765346445935"
"3","Exp-Decay","No-Charge","0.12","14","11","0.147632114928032","11","0.3898251657160209","0.07768425929235663","87.72263183332225","81.5708400565502","83.85392218945228","81.10251860053441","44.83157256235758","74.98646051808717","74.86402143226312","68.28747245763647"
"4","Exp-Decay","tou","0.08","14","12","0.08282968364242661","12","0.3216981718057344","0.06482450688362776","93.83357945363151","84.81087461699984","87.31948251034666","85.184378115691","86.03947907002964","81.89722097081268","86.02362676091138","81.82402004585268"
"1","Exp-Decay","No-Charge","0.08","14","11","0.147632114928032","11","0.3898251657160209","0.07768425929235663","95.30615603004404","89.33587474360921","91.19056495993847","86.14909374517049","90.93054911541036","85.58938281529632","86.50107932033232","84.54527534077864"
"5","Exp-Decay","tou","0.1","14","13","0.08031094133003167","13","0.2932620725954054","0.06370067708210714","91.98148905220181","78.5297548290569","83.8072833206788","80.5364941777973","62.50612698141081","72.78180797180966","76.81479951233946","76.9248078391127"
"2","Exp-Decay","No-Charge","0.1","14","12","0.09512914559996284","12","0.34734994135230995","0.06743770063167959","92.30352409543056","85.21818991242782","86.80390489072305","83.14893323208497","72.34269645470039","83.11373773496331","85.00822837360778","79.7381439342501"
