"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-ql-epsilon"
"07/25/2026 16:20:19:012 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","ql-epsilon-init","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"4","Q-Learning","tou","0.2","14","14","0.039179137938575984","14","0.11448271076094642","0.030709617465236868","74.94703683879904","60.310036330625046","63.18381152292151","76.62191964777456","41.78668152569241","58.31564175232938","69.46438395046702","65.9662730379729"
"2","Q-Learning","No-Charge","0.4","14","12","0.10911699026671533","12","0.3481921616292952","0.08217074674928679","93.54039939128158","91.37166250851844","90.74072076900696","84.68550132509849","72.81281775398203","83.04683316585701","85.4327475929471","79.70203877869277"
"1","Q-Learning","No-Charge","0.2","14","12","0.1395621905047474","12","0.3930223882934269","0.07241809865103095","91.05331292255559","86.57375974711486","87.88997405567973","85.7555642317641","76.89120988007474","83.22871146151701","85.02903683749483","80.04293641104721"
"3","Q-Learning","No-Charge","0.6","14","12","0.12981007688202875","12","0.4242428741041184","0.07985897747391203","91.28511144400487","87.08830543231497","89.47965133308213","85.19641587375123","76.00074865994398","82.66578207741068","85.23715687946782","79.52108908535965"
"6","Q-Learning","tou","0.6","14","13","0.08335330664721846","13","0.2760381089383409","0.06405165257631976","91.16167738260565","80.99592838810992","83.92935432633219","83.86166127258332","62.13830651272599","72.94021954705337","78.64855771995676","74.19542798021227"
"5","Q-Learning","tou","0.4","14","14","0.0726352020723245","14","0.2213374340249918","0.049534518531421545","79.96856889898925","75.26525250432498","77.61393147874554","79.54803704588322","48.03054836611919","68.64171245982637","71.53409291191444","74.33130182941493"
"2","Q-Learning","No-Charge","0.4","14","13","0.13105627710417544","13","0.42465023463954693","0.07754575350698044","93.09107123277158","87.9274075619006","89.31817367503993","83.75307271632064","72.80352657124725","82.48858230037642","85.51468667893755","79.78900138676657"
"6","Q-Learning","tou","0.6","14","14","0.08978787101464356","14","0.24104839218651664","0.05731034379415132","90.90172909342395","79.83949747620555","84.91619353826238","80.30465564933746","62.25226292874388","72.9803671095189","78.5868949846454","74.41735877152577"
"1","Q-Learning","No-Charge","0.2","14","13","0.10239146304285514","13","0.44198440954328333","0.07176627415204707","92.14775923984529","90.57526254822123","88.54483318156093","81.98804159926027","76.97070204179325","82.88310561630902","85.14100515655036","80.33399749796602"
"3","Q-Learning","No-Charge","0.6","14","13","0.14893510702429563","13","0.34906323725091615","0.09131320975987513","92.02192832164316","93.18950989441217","90.11615954486523","86.03682380493603","76.69144273071556","82.7415235126377","85.52772107388085","79.56672443665505"
"2","Q-Learning","No-Charge","0.4","14","14","0.10899078398617254","14","0.4202930897217343","0.07088545455120814","92.91134396282993","88.97519763231286","88.85563746670364","84.07296921883791","72.84023332227552","82.37176769990911","85.67357131247459","80.01487385502641"
"1","Q-Learning","No-Charge","0.2","14","14","0.11768576100561656","14","0.30744663073199296","0.06726721223831514","91.49237848879245","89.42035125240707","87.2290220418194","82.24394857726621","76.96188609550096","82.86643752965355","85.09936992651409","80.01890997852252"
"3","Q-Learning","No-Charge","0.6","14","14","0.10802954522161068","14","0.4041176908883799","0.08099937370443283","91.6979652487839","89.10086599306369","88.56067461812867","81.522817625682","73.67558593898363","82.9626681170981","85.66500317228443","79.55466230697942"
