link_id,class,group,position,adt_obs,veh_day_model
l_1344,arterial,CBD,inner,30388,27120
l_2124,arterial,CBD,inner,25486,48240
l_306,arterial,East,peripheral,15481,30180
l_280,arterial,East,peripheral,34625,2160
l_90,arterial,West,peripheral,18012,3840
l_915,arterial,West,peripheral,30484,151500
l_2338,arterial,West,peripheral,8296,2700
l_2093,arterial,West,peripheral,7783,5580
l_618,arterial,West,peripheral,17823,27120
l_1241,arterial,West,peripheral,8296,7440
l_2443,arterial,CBD,inner,23275,8460
l_2079,arterial,West,peripheral,30484,41280
l_709,arterial,East,peripheral,27324,1500
l_871,arterial,West,peripheral,19825,25620
l_977,arterial,West,peripheral,16734,8760
l_1067,arterial,East,peripheral,20157,33000
l_1283,arterial,West,peripheral,9523,29640
l_1520,arterial,West,peripheral,34625,19560
l_271,arterial,West,peripheral,34625,3180
l_739,arterial,East,boundary,30388,18240
l_873,arterial,CBD,inner,21939,114960
l_1279,arterial,CBD,inner,16204,3120
l_2209,arterial,CBD,inner,15177,67380
l_1741,arterial,CBD,inner,30388,8400
l_1306,arterial,East,boundary,12793,78720
l_2604,arterial,West,peripheral,6000,11220
l_735,arterial,East,boundary,25748,38100
l_205,arterial,CBD,inner,16700,63840
l_710,arterial,CBD,inner,13785,68940
l_1461,arterial,East,boundary,24996,77040
l_1445,arterial,West,peripheral,6000,600
l_701,arterial,CBD,inner,13785,16440
l_1081,arterial,East,boundary,23275,29580
l_428,arterial,East,boundary,25748,38100
l_1833,arterial,East,peripheral,6446,480
l_2388,arterial,CBD,inner,30388,37080
l_2057,arterial,East,boundary,25748,22260
l_1168,arterial,East,peripheral,3000,65640
l_219,arterial,East,peripheral,12793,0
l_650,arterial,East,peripheral,9369,10740
l_1870,motorway,MWY,peripheral,85000,0
l_146,arterial,East,peripheral,25748,30180
l_1254,arterial,West,peripheral,8296,6240
l_643,arterial,East,peripheral,18554,2400
l_118,arterial,East,peripheral,28822,27180
l_1265,arterial,West,boundary,16204,247860
l_2099,motorway,MWY,peripheral,90000,96480
l_669,arterial,East,peripheral,10821,18240
l_1789,arterial,East,peripheral,21939,121260
l_2266,motorway,MWY,peripheral,8296,27960
l_808,arterial,East,peripheral,18554,1560
l_759,arterial,East,peripheral,15481,17880
