id,adt
l_1615,15906
l_1616,15481
l_1617,4804
l_1618,27324
l_1619,12793
l_1620,15906
l_1621,15906
l_1622,4863
l_1623,4863
l_1624,25748
l_1625,18554
l_1626,3000
l_1627,1564
l_1628,18554
l_1629,16700
l_1630,12259
l_1631,14414
l_1632,18554
l_1633,14414
l_1634,3000
l_1635,4318
l_1636,4804
l_1637,90000
l_1638,18554
l_1639,7783
l_1640,12000
l_1641,4863
l_1642,38827
l_1643,12793
l_1644,12562
l_1645,12562
l_1646,12562
l_1647,28195
l_1648,3000
l_1649,12562
l_1650,25694
l_1651,24996
l_1652,7783
l_1653,16293
l_1654,16700
l_1655,9523
l_1656,16293
l_1657,16293
l_1658,16700
l_1659,14414
l_1660,14414
l_1661,4804
l_1662,90000
l_1663,24996
l_1664,25748
l_1665,30388
l_1666,17823
l_1667,9627
l_1668,9523
l_1669,9369
l_1670,25748
l_1671,15906
l_1672,9523
l_1673,15906
l_1674,15906
l_1675,12562
l_1676,25748
l_1677,27324
l_1678,90000
l_1679,90000
l_1680,30484
l_1681,9369
l_1682,20157
l_1683,4863
l_1684,17823
l_1685,17823
l_1686,28822
l_1687,15906
l_1688,27324
l_1689,43962
l_1690,90000
l_1691,9627
l_1692,9627
l_1693,25694
l_1694,9627
l_1695,12000
l_1696,8296
l_1697,43962
l_1698,19825
l_1699,19825
l_1700,14414
l_1701,15906
l_1702,15906
l_1703,15906
l_1704,15906
l_1705,13785
l_1706,10658
l_1707,10658
l_1708,12562
l_1709,7783
l_1710,16700
l_1711,16293
l_1712,16293
l_1713,16734
l_1714,16734
l_1715,16734
l_1716,43962
l_1717,43962
l_1718,18012
l_1719,28195
l_1720,12562
l_1721,12793
l_1722,12793
l_1723,12793
l_1724,12562
l_1725,12562
l_1726,9523
l_1727,8479
l_1728,38827
l_1729,13785
l_1730,7783
l_1731,25486
l_1732,23275
l_1733,23275
l_1734,43962
l_1735,43962
l_1736,8479
l_1737,12793
l_1738,12793
l_1739,30388
l_1740,30388
l_1741,30388
l_1742,30388
l_1743,30388
l_1744,85000
l_1745,85000
l_1746,85000
l_1747,14414
l_1748,22621
l_1749,22621
l_1750,22621
l_1751,30388
l_1752,9523
l_1753,18554
l_1754,22621
l_1755,22621
l_1756,4804
l_1757,25748
l_1758,90000
l_1759,90000
l_1760,34625
l_1761,34625
l_1762,34625
l_1763,34625
l_1764,25486
l_1765,95000
l_1766,95000
l_1767,95000
l_1768,95000
l_1769,90000
l_1770,90000
l_1771,20157
l_1772,11780
l_1773,25748
l_1774,22621
l_1775,95000
l_1776,95000
l_1777,20157
l_1778,18554
l_1779,19825
l_1780,34625
l_1781,20224
l_1782,20224
l_1783,90000
l_1784,25694
l_1785,28195
l_1786,28195
l_1787,25694
l_1788,21939
l_1789,21939
l_1790,15481
l_1791,21939
l_1792,21939
l_1793,21939
l_1794,21939
l_1795,21939
l_1796,30388
l_1797,30388
l_1798,34625
l_1799,30484
l_1800,30484
l_1801,20224
l_1802,20224
l_1803,9523
l_1804,9523
l_1805,4804
l_1806,4804
l_1807,9523
l_1808,9523
l_1809,9523
l_1810,28822
l_1811,28822
l_1812,30484
l_1813,28822
l_1814,28822
l_1815,28822
l_1816,28822
l_1817,85000
l_1818,85000
l_1819,34625
l_1820,9523
l_1821,9523
l_1822,20224
l_1823,20224
l_1824,20224
l_1825,20224
l_1826,90000
l_1827,18554
l_1828,27324
l_1829,9369
l_1830,9369
l_1831,25748
l_1832,25748
l_1833,6446
l_1834,90000
l_1835,90000
l_1836,90000
l_1837,34625
l_1838,85000
l_1839,95000
l_1840,6446
l_1841,12793
l_1842,25748
l_1843,25748
l_1844,27324
l_1845,15481
l_1846,43962
l_1847,43962
l_1848,43962
l_1849,43962
l_1850,15906
l_1851,15906
l_1852,17823
l_1853,17823
l_1854,17823
l_1855,17823
l_1856,17823
l_1857,17823
l_1858,30388
l_1859,20224
l_1860,6446
l_1861,6446
l_1862,6446
l_1863,12793
l_1864,12793
l_1865,25748
l_1866,25748
l_1867,27326
l_1868,30388
l_1869,90000
l_1870,85000
