id,start,end,maxspeed,streetName,junction
l_299,n_id152,n_id149,50 km/h,Shelly Beach Road,None
l_300,n_id292,n_id290,50 km/h,Williamson Avenue,None
l_301,n_id290,n_id282,50 km/h,Williamson Avenue,None
l_302,n_id1502,n_id1500,50 km/h,Ayr Street,None
l_303,n_id1298,n_id1304,30 km/h,Alten Road,None
l_304,n_id50,n_id53,50 km/h,Great North Road,None
l_305,n_id1444,n_id1440,50 km/h,Parnell Road,None
l_306,n_id1440,n_id1436,50 km/h,Parnell Road,None
l_307,n_id339,n_id336,30 km/h,Beaumont Street,None
l_308,n_id872,n_id854,30 km/h,Mayoral Drive,None
l_309,n_id854,n_id844,30 km/h,Mayoral Drive,None
l_310,n_id314,n_id286,50 km/h,Picton Street,None
l_311,n_id321,n_id326,30 km/h,Hepburn Street,None
l_312,n_id1476,n_id1474,50 km/h,The Strand,None
l_313,n_id1363,n_id1351,50 km/h,Carlton Gore Road,None
l_314,n_id674,n_id692,30 km/h,Wellesley Street W,None
l_315,n_id624,n_id631,30 km/h,Cook Street,None
l_316,n_id695,n_id694,30 km/h,Pitt Street,None
l_317,n_id694,n_id693,30 km/h,Pitt Street,None
l_318,n_id611,n_id606,30 km/h,Hopetoun Street,None
l_319,n_id707,n_id703,30 km/h,Pitt Street,None
l_320,n_id708,n_id707,30 km/h,Pitt Street,None
l_321,n_id703,n_id702,30 km/h,Pitt Street,None
l_322,n_id1427,n_id1433,50 km/h,Parnell Road,None
l_323,n_id1433,n_id1438,50 km/h,Parnell Road,None
l_324,n_id354,n_id358,40 km/h,Ponsonby Road,None
l_325,n_id1438,n_id1442,50 km/h,Parnell Road,None
l_326,n_id936,n_id938,50 km/h,Grafton Road,None
l_327,n_id938,n_id941,50 km/h,Grafton Road,None
l_328,n_id999,n_id1004,30 km/h,Symonds Street,None
l_329,n_id1004,n_id1008,30 km/h,Symonds Street,None
l_330,n_id1355,n_id1344,50 km/h,Khyber Pass Road,None
l_331,n_id1208,n_id1206,30 km/h,Grafton Road,None
l_332,n_id978,n_id974,30 km/h,Mayoral Drive,None
l_333,n_id974,n_id962,30 km/h,Mayoral Drive,None
l_334,n_id1494,n_id1493,50 km/h,Saint Stephens Avenue,None
l_335,n_id71,n_id61,50 km/h,Williamson Avenue,None
l_336,n_id61,n_id59,50 km/h,Williamson Avenue,None
l_337,n_id93,n_id95,50 km/h,Curran Street,None
l_338,n_id1469,n_id1466,50 km/h,Parnell Road,None
l_339,n_id958,n_id961,50 km/h,Grafton Road,None
l_340,n_id769,n_id774,30 km/h,Upper Queen Street,None
l_341,n_id521,n_id533,30 km/h,Karangahape Road,None
l_342,n_id533,n_id543,30 km/h,Karangahape Road,None
l_343,n_id541,n_id530,30 km/h,Hopetoun Street,None
l_344,n_id251,n_id249,50 km/h,Bond Street,None
l_345,n_id219,n_id212,50 km/h,Bond Street,None
l_346,n_id60,n_id68,50 km/h,Great North Road,None
l_347,n_id148,n_id122,50 km/h,Williamson Avenue,None
l_348,n_id172,n_id159,50 km/h,Williamson Avenue,None
l_349,n_id188,n_id218,50 km/h,Richmond Road,None
l_350,n_id34,n_id37,50 km/h,Richmond Road,None
l_351,n_id6,n_id10,50 km/h,Richmond Road,None
l_352,n_id947,n_id940,30 km/h,Mayoral Drive,None
l_353,n_id962,n_id947,30 km/h,Mayoral Drive,None
l_354,n_id1206,n_id1205,30 km/h,Grafton Road,None
